"","Date","SAC","RollSac","FF","WaterYear","Month","DOWY"
"1",1929-12-11,29555,26298.3333333333,"STORM",1930,12,75
"2",1931-01-26,26936,25829.3333333333,"STORM",1931,1,117
"3",1931-12-24,28686,27466,"STORM",1932,12,88
"4",1933-01-31,25667,25117.3333333333,"STORM",1933,1,122
"5",1933-12-31,33508,32788,"STORM",1934,12,95
"6",1935-01-05,28527,27190.3333333333,"STORM",1935,1,96
"7",1936-01-10,31488,36604.6666666667,"STORM",1936,1,101
"8",1937-02-04,19225,26838.3333333333,"STORM",1937,2,126
"9",1937-11-19,31216,29596,"STORM",1938,11,53
"10",1939-03-15,28716,27319.3333333333,"STORM",1939,3,165
"11",1940-01-02,24206,27522.6666666667,"STORM",1940,1,93
"12",1940-12-20,34115,31038.3333333333,"STORM",1941,12,85
"13",1941-12-03,36285,29901.6666666667,"STORM",1942,12,67
"14",1942-11-18,37784,28957.3333333333,"STORM",1943,11,52
"15",1944-02-03,29188,29331.3333333333,"STORM",1944,2,125
"16",1944-11-11,30004,27560.6666666667,"STORM",1945,11,46
"17",1945-11-30,25373,25319.6666666667,"STORM",1946,11,64
"18",1946-12-06,28282,26428.6666666667,"STORM",1947,12,70
"19",1948-01-05,29141,27314.3333333333,"STORM",1948,1,96
"20",1949-03-02,17852,26828.6666666667,"STORM",1949,3,152
"21",1950-01-17,25182,26865.3333333333,"STORM",1950,1,108
"22",1950-11-17,17640,33880,"STORM",1951,11,51
"23",1951-12-01,31781,33374,"STORM",1952,12,65
"24",1952-12-08,33591,31104.3333333333,"STORM",1953,12,73
"25",1954-01-18,36676,31809.3333333333,"STORM",1954,1,109
"26",1954-11-17,31172,27995.3333333333,"STORM",1955,11,51
"27",1955-12-09,28000,26700,"STORM",1956,12,73
"28",1957-02-24,23100,27066.6666666667,"STORM",1957,2,146
"29",1957-10-16,27000,25300,"STORM",1958,10,19
"30",1959-01-10,28000,28933.3333333333,"STORM",1959,1,101
"31",1960-02-03,27600,25066.6666666667,"STORM",1960,2,125
"32",1960-12-03,28100,26000,"STORM",1961,12,68
"33",1961-12-03,28500,26600,"STORM",1962,12,67
"34",1962-10-13,36000,39133.3333333333,"STORM",1963,10,16
"35",1963-11-17,28100,26200,"STORM",1964,11,51
"36",1964-12-21,23300,30633.3333333333,"STORM",1965,12,86
"37",1965-11-18,25400,26700,"STORM",1966,11,52
"38",1966-11-21,26300,26800,"STORM",1967,11,55
"39",1968-01-16,28400,27100,"STORM",1968,1,107
"40",1968-12-16,27600,27233.3333333333,"STORM",1969,12,81
"41",1969-12-14,25700,25366.6666666667,"STORM",1970,12,78
"42",1970-11-26,25100,25833.3333333333,"STORM",1971,11,60
"43",1971-12-25,28400,27733.3333333333,"STORM",1972,12,89
"44",1972-11-15,26000,27533.3333333333,"STORM",1973,11,50
"45",1973-11-11,25000,28433.3333333333,"STORM",1974,11,45
"46",1974-11-22,26000,25866.6666666667,"STORM",1975,11,56
