"ID","FirstDay","LastDay"
71,1929-12-10,1929-12-18
109,1930-01-17,1930-01-19
146,1930-02-23,1930-02-27
156,1930-03-05,1930-03-06
481,1931-01-24,1931-01-25
535,1931-03-19,1931-03-21
815,1931-12-24,1931-12-29
822,1931-12-31,1932-01-01
859,1932-02-06,1932-02-07
902,1932-03-20,1932-03-23
1276,1933-03-29,1933-03-31
1535,1933-12-13,1933-12-15
1552,1933-12-30,1934-01-06
1641,1934-03-29,1934-03-31
1923,1935-01-05,1935-01-11
1934,1935-01-16,1935-01-18
1978,1935-03-01,1935-03-05
2012,1935-04-04,1935-04-08
2018,1935-04-10,1935-04-11
2293,1936-01-10,1936-01-18
2326,1936-02-12,1936-02-14
2330,1936-02-16,1936-02-19
2337,1936-02-23,1936-02-24
2378,1936-04-04,1936-04-07
2442,1936-06-07,1936-06-08
2684,1937-02-04,1937-02-06
2694,1937-02-14,1937-02-15
2720,1937-03-12,1937-03-25
2817,1937-06-17,1937-06-18
2971,1937-11-18,1937-11-25
2993,1937-12-10,1937-12-11
2996,1937-12-13,1937-12-14
3032,1938-01-18,1938-01-23
3046,1938-02-01,1938-02-07
3054,1938-02-09,1938-02-12
3086,1938-03-13,1938-03-17
3093,1938-03-20,1938-03-22
3097,1938-03-24,1938-03-27
3150,1938-05-16,1938-05-18
3447,1939-03-09,1939-03-10
3453,1939-03-15,1939-03-17
3725,1939-12-12,1939-12-13
3746,1940-01-02,1940-01-09
3755,1940-01-11,1940-01-12
3770,1940-01-26,1940-01-27
3774,1940-01-30,1940-01-30
3780,1940-02-05,1940-02-08
3789,1940-02-14,1940-02-14
3801,1940-02-26,1940-02-29
3831,1940-03-27,1940-03-27
3833,1940-03-29,1940-03-31
4097,1940-12-18,1940-12-28
4117,1941-01-07,1941-01-10
4124,1941-01-14,1941-01-17
4132,1941-01-22,1941-01-28
4150,1941-02-09,1941-02-13
4169,1941-02-28,1941-03-04
4200,1941-03-31,1941-04-07
4447,1941-12-03,1941-12-05
4459,1941-12-15,1941-12-19
4473,1941-12-29,1941-12-30
4498,1942-01-23,1942-01-28
4510,1942-02-04,1942-02-08
4549,1942-03-15,1942-03-16
4569,1942-04-04,1942-04-08
4579,1942-04-14,1942-04-18
4621,1942-05-26,1942-05-26
4797,1942-11-18,1942-11-18
4833,1942-12-24,1942-12-25
4838,1942-12-29,1942-12-30
4861,1943-01-21,1943-01-25
4870,1943-01-30,1943-01-31
4896,1943-02-25,1943-02-27
4905,1943-03-06,1943-03-11
4958,1943-04-28,1943-05-02
4992,1943-06-01,1943-06-02
5239,1944-02-03,1944-02-04
5259,1944-02-23,1944-02-23
5265,1944-02-29,1944-03-01
5269,1944-03-04,1944-03-05
5520,1944-11-10,1944-11-11
5542,1944-12-02,1944-12-03
5561,1944-12-21,1944-12-24
5603,1945-02-01,1945-02-02
5606,1945-02-04,1945-02-04
5656,1945-03-26,1945-03-28
5875,1945-10-31,1945-11-01
5911,1945-12-06,1945-12-08
5926,1945-12-21,1945-12-30
6025,1946-03-30,1946-03-31
6260,1946-11-20,1946-11-20
6263,1946-11-23,1946-11-24
6276,1946-12-06,1946-12-07
6344,1947-02-12,1947-02-13
6363,1947-03-03,1947-03-06
6370,1947-03-10,1947-03-12
6669,1948-01-03,1948-01-08
6750,1948-03-24,1948-03-26
6767,1948-04-10,1948-04-12
6774,1948-04-17,1948-04-19
7094,1949-03-03,1949-03-04
7102,1949-03-11,1949-03-15
7414,1950-01-17,1950-01-19
7419,1950-01-22,1950-01-24
7432,1950-02-04,1950-02-07
7476,1950-03-20,1950-03-25
7719,1950-11-18,1950-11-21
7734,1950-12-03,1950-12-09
7745,1950-12-14,1950-12-16
7773,1951-01-11,1951-01-13
7780,1951-01-18,1951-01-19
7784,1951-01-22,1951-01-23
7798,1951-02-05,1951-02-08
7805,1951-02-12,1951-02-13
7828,1951-03-07,1951-03-07
7886,1951-05-04,1951-05-06
8097,1951-12-01,1951-12-05
8123,1951-12-27,1951-12-31
8139,1952-01-12,1952-01-16
8152,1952-01-25,1952-01-27
8160,1952-02-02,1952-02-04
8175,1952-02-17,1952-02-18
8194,1952-03-07,1952-03-09
8202,1952-03-15,1952-03-19
8469,1952-12-07,1952-12-07
8482,1952-12-20,1952-12-22
8489,1952-12-27,1953-01-02
8500,1953-01-07,1953-01-11
8507,1953-01-14,1953-01-15
8512,1953-01-19,1953-01-21
8572,1953-03-20,1953-03-22
8610,1953-04-27,1953-04-28
8633,1953-05-20,1953-05-20
8875,1954-01-17,1954-01-18
8882,1954-01-24,1954-01-24
8902,1954-02-13,1954-02-19
8926,1954-03-09,1954-03-12
8953,1954-04-05,1954-04-08
9179,1954-11-17,1954-11-17
9195,1954-12-03,1954-12-04
9224,1955-01-01,1955-01-02
9242,1955-01-19,1955-01-20
9336,1955-04-23,1955-04-24
9550,1955-11-23,1955-11-23
9564,1955-12-07,1955-12-08
9576,1955-12-19,1955-12-23
9583,1955-12-26,1955-12-27
9594,1956-01-06,1956-01-06
9603,1956-01-15,1956-01-17
9640,1956-02-21,1956-02-25
9731,1956-05-22,1956-05-26
10009,1957-02-24,1957-02-28
10018,1957-03-05,1957-03-07
10093,1957-05-19,1957-05-23
10273,1957-11-15,1957-11-16
10305,1957-12-17,1957-12-20
10345,1958-01-26,1958-01-31
10353,1958-02-03,1958-02-10
10363,1958-02-13,1958-02-14
10369,1958-02-19,1958-02-21
10375,1958-02-25,1958-02-27
10400,1958-03-22,1958-03-25
10409,1958-03-31,1958-04-04
10695,1959-01-11,1959-01-15
10731,1959-02-16,1959-02-20
11083,1960-02-03,1960-02-06
11089,1960-02-09,1960-02-10
11115,1960-03-06,1960-03-10
11387,1960-12-03,1960-12-04
11446,1961-01-31,1961-02-05
11457,1961-02-11,1961-02-14
11752,1961-12-03,1961-12-04
11771,1961-12-22,1961-12-23
11801,1962-01-21,1962-01-22
11820,1962-02-09,1962-02-12
11825,1962-02-14,1962-02-17
11846,1962-03-07,1962-03-10
12066,1962-10-13,1962-10-15
12118,1962-12-04,1962-12-05
12130,1962-12-16,1962-12-20
12176,1963-01-31,1963-02-02
12232,1963-03-28,1963-03-30
12242,1963-04-07,1963-04-09
12250,1963-04-15,1963-04-16
12465,1963-11-16,1963-11-17
12531,1964-01-21,1964-01-23
12826,1964-11-11,1964-11-14
12866,1964-12-21,1964-12-25
12880,1965-01-04,1965-01-07
12901,1965-01-25,1965-01-26
12976,1965-04-10,1965-04-12
12983,1965-04-17,1965-04-23
13240,1965-12-30,1965-12-31
13246,1966-01-05,1966-01-10
13566,1966-11-21,1966-11-23
13575,1966-11-30,1966-12-08
13627,1967-01-21,1967-01-24
13634,1967-01-28,1967-02-01
13682,1967-03-17,1967-03-19
13983,1968-01-12,1968-01-12
13987,1968-01-16,1968-01-18
14001,1968-01-30,1968-02-01
14021,1968-02-19,1968-02-25
14318,1968-12-12,1968-12-13
14332,1968-12-26,1968-12-28
14350,1969-01-13,1969-01-16
14357,1969-01-20,1969-01-23
14363,1969-01-26,1969-01-27
14380,1969-02-12,1969-02-16
14397,1969-03-01,1969-03-02
14685,1969-12-14,1969-12-16
14692,1969-12-21,1969-12-26
14713,1970-01-11,1970-01-18
14724,1970-01-22,1970-01-25
15035,1970-11-29,1970-12-05
15084,1971-01-17,1971-01-21
15140,1971-03-14,1971-03-15
15152,1971-03-26,1971-03-30
15753,1972-11-16,1972-11-18
15786,1972-12-19,1972-12-21
15809,1973-01-11,1973-01-14
15815,1973-01-17,1973-01-19
15836,1973-02-07,1973-02-12
15857,1973-02-28,1973-03-03
16114,1973-11-12,1973-11-19
16134,1973-12-02,1973-12-04
16162,1973-12-30,1974-01-01
16178,1974-01-15,1974-01-20
16224,1974-03-02,1974-03-04
16252,1974-03-30,1974-04-03
16561,1975-02-02,1975-02-04
16568,1975-02-09,1975-02-16
16596,1975-03-09,1975-03-14
16608,1975-03-21,1975-03-26
17610,1977-12-17,1977-12-17
17618,1977-12-25,1977-12-25
17630,1978-01-06,1978-01-07
17637,1978-01-13,1978-01-18
17662,1978-02-07,1978-02-11
17687,1978-03-04,1978-03-08
18001,1979-01-12,1979-01-13
18005,1979-01-16,1979-01-17
18035,1979-02-15,1979-02-24
18050,1979-03-02,1979-03-03
18077,1979-03-29,1979-03-30
18348,1979-12-25,1979-12-28
18366,1980-01-12,1980-01-17
18401,1980-02-16,1980-02-22
18694,1980-12-05,1980-12-06
18744,1981-01-24,1981-01-26
18749,1981-01-29,1981-01-31
18767,1981-02-16,1981-02-17
19042,1981-11-18,1981-11-20
19047,1981-11-23,1981-11-27
19074,1981-12-20,1981-12-22
19084,1981-12-30,1982-01-02
19090,1982-01-05,1982-01-06
19131,1982-02-15,1982-02-17
19150,1982-03-06,1982-03-06
19175,1982-03-31,1982-04-04
19186,1982-04-11,1982-04-13
19408,1982-11-19,1982-11-21
19419,1982-11-30,1982-12-02
19441,1982-12-22,1982-12-24
19473,1983-01-23,1983-01-30
19489,1983-02-08,1983-02-10
19494,1983-02-13,1983-02-14
19508,1983-02-27,1983-03-04
19522,1983-03-13,1983-03-15
19533,1983-03-24,1983-03-25
19570,1983-04-30,1983-05-02
19765,1983-11-11,1983-11-22
19779,1983-11-25,1983-11-28
19794,1983-12-10,1983-12-14
19808,1983-12-24,1983-12-28
19861,1984-02-15,1984-02-18
20134,1984-11-14,1984-11-16
20221,1985-02-09,1985-02-10
20564,1986-01-18,1986-01-20
20577,1986-01-31,1986-02-06
20591,1986-02-14,1986-02-20
20613,1986-03-08,1986-03-12
20956,1987-02-14,1987-02-15
20977,1987-03-07,1987-03-08
20984,1987-03-14,1987-03-16
21281,1988-01-05,1988-01-07
21605,1988-11-24,1988-11-25
21711,1989-03-10,1989-03-13
21726,1989-03-25,1989-03-27
22017,1990-01-10,1990-01-11
22022,1990-01-15,1990-01-16
22436,1991-03-05,1991-03-06
22445,1991-03-14,1991-03-15
22456,1991-03-25,1991-03-27
22780,1992-02-12,1992-02-16
22814,1992-03-17,1992-03-19
23083,1992-12-11,1992-12-13
23105,1993-01-02,1993-01-03
23112,1993-01-09,1993-01-10
23117,1993-01-14,1993-01-18
23124,1993-01-21,1993-01-23
23143,1993-02-09,1993-02-14
23153,1993-02-19,1993-02-24
23180,1993-03-18,1993-03-28
23257,1993-06-03,1993-06-08
23508,1994-02-09,1994-02-10
23807,1994-12-05,1994-12-06
23839,1995-01-06,1995-01-12
23859,1995-01-26,1995-01-28
23867,1995-02-03,1995-02-04
23896,1995-03-04,1995-03-05
23901,1995-03-09,1995-03-13
23915,1995-03-23,1995-03-23
23934,1995-04-11,1995-04-14
23953,1995-04-30,1995-05-04
24032,1995-07-18,1995-07-18
24180,1995-12-13,1995-12-15
24216,1996-01-18,1996-01-23
24234,1996-02-05,1996-02-07
24248,1996-02-19,1996-02-23
24271,1996-03-13,1996-03-13
24292,1996-04-03,1996-04-04
24335,1996-05-16,1996-05-20
24539,1996-12-06,1996-12-07
24544,1996-12-11,1996-12-15
24560,1996-12-27,1997-01-03
24586,1997-01-22,1997-01-27
24900,1997-12-02,1997-12-02
