"SampleID_frp","LatitudeStart","LongitudeStart","GearTypeAbbreviation","effort","Location","Date","Longfin_CPUE"
"BEASEI01-TULE-12FEB2024",38.11678,121.977711,"BEASEI",63,"Tule Red",2024-02-12,0
"BEASEI02-TULE-12FEB2024",38.119558,121.978038,"BEASEI",54.45,"Tule Red",2024-02-12,0
"LAMOPE01-TULE-25JAN2024",38.1334,121.992147,"LAMOPE",168.922111459686,"Tule Red",2024-01-25,0
"CAST01-TULE-25JAN2024",38.123962,121.980815,"CAST",NA,"Tule Red",2024-01-25,0
"LAMOPE03-TULE-25JAN2024",38.131176,121.990725,"LAMOPE",257.551731085734,"Tule Red",2024-01-25,0
"LAMOPE05-GRIZ-25JAN2024",38.121021,121.990446,"LAMOPE",197.300077206198,"Grizzly Bay",2024-01-25,0
"LAMOPE06-GRIZ-25JAN2024",38.114482,121.992554,"LAMOPE",280.81804009311,"Grizzly Bay",2024-01-25,0
"LAMOPE09-RYER-25JAN2024",38.076836,122.013955,"LAMOPE",332.7,"Ryer Island",2024-01-25,0
"BEASEI01-TULE-07MAR2024",38.133047,121.994871,"BEASEI",72,"Tule Red",2024-03-07,0
"OTTTRA01-TULE-07MAR2024",38.122098,121.983089,"OTTTRA",2413.92019,"Tule Red",2024-03-07,0
"OTTTRA02-TULE-07MAR2024",38.126945,121.987138,"OTTTRA",2225.198745,"Tule Red",2024-03-07,0
"OTTTRA03-TULE-07MAR2024",38.131414,121.991266,"OTTTRA",2783.234905,"Tule Red",2024-03-07,0
"OTTTRA04-TULE-07MAR2024",38.122903,121.9837,"OTTTRA",1696.4979075,"Tule Red",2024-03-07,0
"OTTTRA05-TULE-07MAR2024",38.127316,121.987129,"OTTTRA",1468.9829,"Tule Red",2024-03-07,0
"OTTTRA06-TULE-07MAR2024",38.133758,121.995861,"OTTTRA",2196.824025,"Tule Red",2024-03-07,0
"OTTTRA07-TULE-07MAR2024",38.131102,121.99052,"OTTTRA",2059.088405,"Tule Red",2024-03-07,0
"OTTTRA08-TULE-07MAR2024",38.126033,121.987075,"OTTTRA",1872.583735,"Tule Red",2024-03-07,0
"OTTTRA09-TULE-07MAR2024",38.125935,121.985815,"OTTTRA",1940.3431575,"Tule Red",2024-03-07,0
"LAMOPE01-TULE-07MAR2024",38.12873,121.988214,"LAMOPE",241.188915624294,"Tule Red",2024-03-07,0
"LAMOPE02-TULE-07MAR2024",38.13128,121.990991,"LAMOPE",257.551731085734,"Tule Red",2024-03-07,0
"LAMOPE03-TULE-07MAR2024",38.133818,121.993193,"LAMOPE",178.551821933162,"Tule Red",2024-03-07,0
"LAMOPE04-TULE-07MAR2024",38.133859,121.994934,"LAMOPE",178.551821933162,"Tule Red",2024-03-07,0
"LAMOPE06-TULE-07MAR2024",38.123099,121.983908,"LAMOPE",249.455517634,"Tule Red",2024-03-07,0
"LAMOPE01-GRIZ-12FEB2024",38.13934,122.011932,"LAMOPE",118.217730722742,"Grizzly Bay",2024-02-12,0
"LAMOPE02-GRIZ-12FEB2024",38.132619,122.01448,"LAMOPE",168.922111459686,"Grizzly Bay",2024-02-12,0
"LAMOPE01-GRIZ-11MAR2024",38.126908,122.008482,"LAMOPE",178.551821933162,"Grizzly Bay",2024-03-11,0
"LAMOPE02-GRIZ-11MAR2024",38.130068,122.003459,"LAMOPE",159.12201242824,"Grizzly Bay",2024-03-11,0
"LAMOPE03-GRIZ-11MAR2024",38.124263,121.995384,"LAMOPE",139.010648691434,"Grizzly Bay",2024-03-11,0
"LAMOPE03-GRIZ-12FEB2024",38.126425,122.002444,"LAMOPE",168.922111459686,"Grizzly Bay",2024-02-12,0
"LAMOPE04-TULE-12FEB2024",38.132755,121.991308,"LAMOPE",188.011143848666,"Tule Red",2024-02-12,0
"LAMOPE06-TULE-12FEB2024",38.133539,121.992286,"LAMOPE",159.12201242824,"Tule Red",2024-02-12,0
"LAMOPE08-RYER-12FEB2024",38.079769,122.011764,"LAMOPE",188.011143848666,"Ryer Island",2024-02-12,0
"LAMOPE09-RYER-12FEB2024",38.076315,122.006692,"LAMOPE",241.188915624294,"Ryer Island",2024-02-12,0
"BEASEI01-TULE-08APR2024",38.123343,121.9798,"BEASEI",78.75,"Tule Red",2024-04-08,0
"BEASEI02-TULE-08APR2024",38.119586,121.97806,"BEASEI",69.3,"Tule Red",2024-04-08,0
"BIGLAM01-GRIZ-21MAY2024",38.122205,122.008721,"BIGLAM",370.573453039033,"Grizzly Bay",2024-05-21,0
"BIGLAM02-GRIZ-21MAY2024",38.117493,121.996448,"BIGLAM",370.573453039033,"Grizzly Bay",2024-05-21,0
"BIGLAM03-GRIZ-21MAY2024",38.132388,122.007338,"BIGLAM",345.868556169764,"Grizzly Bay",2024-05-21,0
"BIGLAM04-TULE-21MAY2024",38.134013,121.993387,"BIGLAM",494.097937385377,"Tule Red",2024-05-21,0
"BIGLAM05-TULE-21MAY2024",38.129856,121.988786,"BIGLAM",568.212627993184,"Tule Red",2024-05-21,0
"BIGLAM06-TULE-21MAY2024",38.124028,121.980413,"BIGLAM",296.458762431226,"Tule Red",2024-05-21,0
"LAMOPE01-RYER-21MAY2024",38.083967,122.009806,"LAMOPE",188.011143848666,"Ryer Island",2024-05-21,0
"BIGLAM07-RYER-21MAY2024",38.08247,122.013267,"BIGLAM",444.688143646839,"Ryer Island",2024-05-21,0
"OTTTRA01-GRIZ-17JUN2024",38.128793,122.004326,"OTTTRA",1836.228625,"Grizzly Bay",2024-06-17,16.3378348379685
