"","Year","WY","X20.mm_index","X20.mm_SE","STN_index","STN_SE","FMWT_index","FMWT_SE","SMWT_index","SMWT_SE","SKT_index","SKT_SE"
"1",1990,1991,NA,NA,"944,890","247,880","485,426","165,111",NA,NA,NA,NA
"2",1991,1992,NA,NA,"3,947,363","683,072","1,178,446","227,064","131,260","33,617",NA,NA
"3",1992,1993,NA,NA,"1,722,648","287,981","155,808","57,644","103,603","26,762",NA,NA
"4",1993,1994,NA,NA,"7,957,836","1,429,502","1,861,967","549,550","55,630","14,084",NA,NA
"5",1994,1995,NA,NA,"5,594,684","743,458","62,173","24,175","485,581","106,027",NA,NA
"6",1995,1996,"3,802,003","1,714,167","3,885,218","503,118","2,870,967","541,800","90,155","24,314",NA,NA
"7",1996,1997,"51,816,580","9,680,651","9,519,528","3,741,334","72,185","24,425","856,455","205,410",NA,NA
"8",1997,1998,"28,676,814","5,422,401","2,256,242","650,399","692,611","204,958","115,537","27,425",NA,NA
"9",1998,1999,"5,435,652","2,523,076","3,006,382","558,410","327,681","70,380","140,128","41,206",NA,NA
"10",1999,2000,"18,546,993","4,513,613","9,307,496","1,464,873","2,198,820","484,791","171,469","39,449",NA,NA
"11",2000,2001,"24,333,860","5,208,331","6,029,290","782,124","717,813","166,928","539,175","134,012",NA,NA
"12",2001,2002,"19,761,621","4,903,592","4,940,657","811,880","2,059,595","688,896","245,506","41,888",NA,NA
"13",2002,2003,"5,330,964","1,608,388","2,441,040","368,227","345,150","90,302",NA,NA,"933,982","225,097"
"14",2003,2004,"6,661,403","3,668,971","1,546,580","238,121","833,943","310,214",NA,NA,"1,167,662","165,504"
"15",2004,2005,"11,334,053","3,686,194","696,211","165,741","451,505","219,759",NA,NA,"763,619","161,573"
"16",2005,2006,"13,754,192","3,625,550","1,139,543","263,185","64,973","23,449",NA,NA,"329,722","101,264"
"17",2006,2007,"3,360,377","1,586,596","590,540","271,746","33,479","16,099",NA,NA,"301,735","45,389"
"18",2007,2008,"1,659,962","1,965,671","311,681","133,506","23,371","13,005",NA,NA,"375,070","124,451"
"19",2008,2009,"1,427,033","789,623","508,404","160,339","53,864","22,792",NA,NA,"207,930","82,196"
"20",2009,2010,"5,190,179","2,021,635","285,517","104,853","23,970","13,407",NA,NA,"217,409","72,908"
"21",2010,2011,"4,870,088","1,503,243","1,170,651","405,384","43,910","29,287",NA,NA,"278,255","90,568"
"22",2011,2012,"4,205,030","1,762,812","3,589,513","832,610","279,154","95,298",NA,NA,"232,899","83,947"
"23",2012,2013,"16,626,279","4,556,209","611,230","139,708","112,339","34,401",NA,NA,"1,105,082","388,559"
"24",2013,2014,"5,379,031","1,090,197","715,704","183,800","20,975","11,389",NA,NA,"316,806","93,219"
"25",2014,2015,"1,868,430","502,275","266,270","92,006","11,781","10,316",NA,NA,"250,095","80,597"
"26",2015,2016,"525,597","177,227","3,201","4,517","2,886","3,872",NA,NA,"162,446","74,258"
"27",2016,2017,"426,070","131,597","11,676","15,488","19,348","12,632",NA,NA,"21,730","8,901"
"28",2017,2018,"690,469","250,915","320,293","176,681","7,502","8,270",NA,NA,"30,888","9,561"
