Year,Survey,Date,Station,Net,AlphaCode,SizeGroup,Length,Frequency,PlusCount,Comments,TowArea,TowVolume
2025,1,2025-01-15T00:00:00Z,101,1,LONSME,0,63,1,NA,NA,NA,5856.375
2025,1,2025-01-15T00:00:00Z,101,1,LONSME,0,117,1,NA,NA,NA,5856.375
2025,1,2025-01-15T00:00:00Z,101,2,LONSME,0,62,1,NA,NA,633.8000094,NA
2025,1,2025-01-15T00:00:00Z,102,2,LONSME,0,61,1,NA,NA,1014.079977,NA
2025,1,2025-01-14T00:00:00Z,106,2,LONSME,0,63,1,NA,NA,1394.359992,NA
2025,1,2025-01-14T00:00:00Z,106,2,LONSME,0,70,2,NA,NA,1394.359992,NA
2025,1,2025-01-14T00:00:00Z,106,2,LONSME,0,71,1,NA,NA,1394.359992,NA
2025,1,2025-01-14T00:00:00Z,106,2,LONSME,0,72,1,NA,NA,1394.359992,NA
2025,1,2025-01-14T00:00:00Z,106,2,LONSME,0,79,1,NA,NA,1394.359992,NA
2025,1,2025-01-14T00:00:00Z,106,2,LONSME,0,91,1,NA,NA,1394.359992,NA
2025,1,2025-01-14T00:00:00Z,106,2,LONSME,0,95,1,NA,NA,1394.359992,NA
2025,1,2025-01-14T00:00:00Z,106,2,LONSME,0,97,1,NA,NA,1394.359992,NA
2025,1,2025-01-14T00:00:00Z,106,2,LONSME,0,110,1,NA,NA,1394.359992,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,56,1,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,57,1,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,58,1,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,60,1,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,61,1,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,62,1,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,63,1,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,64,3,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,67,1,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,68,3,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,69,2,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,70,1,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,71,1,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,74,1,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,78,1,NA,NA,760.559983,NA
2025,1,2025-01-15T00:00:00Z,107,2,LONSME,0,80,2,NA,NA,760.559983,NA
2025,1,2025-01-14T00:00:00Z,108,1,LONSME,0,54,1,NA,NA,NA,6480.825
2025,1,2025-01-14T00:00:00Z,108,1,LONSME,0,55,1,NA,NA,NA,6480.825
2025,1,2025-01-14T00:00:00Z,108,1,LONSME,0,56,1,NA,NA,NA,6480.825
2025,1,2025-01-14T00:00:00Z,108,1,LONSME,0,57,1,NA,NA,NA,6480.825
2025,1,2025-01-14T00:00:00Z,108,1,LONSME,0,59,1,NA,NA,NA,6480.825
2025,1,2025-01-14T00:00:00Z,108,1,LONSME,0,61,1,NA,NA,NA,6480.825
2025,1,2025-01-14T00:00:00Z,108,1,LONSME,0,63,1,NA,NA,NA,6480.825
2025,1,2025-01-14T00:00:00Z,108,1,LONSME,0,67,1,NA,NA,NA,6480.825
2025,1,2025-01-14T00:00:00Z,108,1,LONSME,0,69,1,NA,NA,NA,6480.825
2025,1,2025-01-14T00:00:00Z,108,2,LONSME,0,57,1,NA,"Deleted 3 extra fish from this tow, 10/17/25",1077.460011,NA
2025,1,2025-01-14T00:00:00Z,108,2,LONSME,0,60,1,NA,NA,1077.460011,NA
2025,1,2025-01-14T00:00:00Z,108,2,LONSME,0,63,1,NA,NA,1077.460011,NA
2025,1,2025-01-14T00:00:00Z,108,2,LONSME,0,64,1,NA,NA,1077.460011,NA
2025,1,2025-01-14T00:00:00Z,108,2,LONSME,0,68,1,NA,NA,1077.460011,NA
2025,1,2025-01-14T00:00:00Z,108,2,LONSME,0,101,1,NA,NA,1077.460011,NA
2025,1,2025-01-14T00:00:00Z,110,2,LONSME,0,61,1,NA,NA,443.6600019,NA
2025,1,2025-01-14T00:00:00Z,110,2,LONSME,0,65,2,NA,NA,443.6600019,NA
2025,1,2025-01-14T00:00:00Z,110,2,LONSME,0,66,1,NA,NA,443.6600019,NA
2025,1,2025-01-15T00:00:00Z,140,1,LONSME,0,56,1,NA,NA,NA,6509
2025,1,2025-01-15T00:00:00Z,140,1,LONSME,0,67,1,NA,NA,NA,6509
2025,1,2025-01-15T00:00:00Z,140,2,LONSME,0,63,1,NA,NA,823.9399698,NA
2025,1,2025-01-13T00:00:00Z,215,1,LONSME,0,71,1,NA,NA,NA,5731.6
