Year,Survey,Date,Station,Net,Tow,AlphaCode,Length,Frequency,AdjustedFreq,SizeGroup
2025,1,1/15/2025,101,1,1,LONSME,63,1,1.00,Age1
2025,1,1/15/2025,101,1,1,LONSME,117,1,1.00,Age2+
2025,1,1/15/2025,101,2,1,LONSME,62,1,1.00,Age1
2025,1,1/15/2025,102,2,1,LONSME,61,1,1.00,Age1
2025,1,1/14/2025,106,2,1,LONSME,63,1,1.00,Age1
2025,1,1/14/2025,106,2,1,LONSME,70,2,2.00,Age1
2025,1,1/14/2025,106,2,1,LONSME,71,1,1.00,Age1
2025,1,1/14/2025,106,2,1,LONSME,72,1,1.00,Age1
2025,1,1/14/2025,106,2,1,LONSME,79,1,1.00,Age1
2025,1,1/14/2025,106,2,1,LONSME,91,1,1.00,Age2+
2025,1,1/14/2025,106,2,1,LONSME,95,1,1.00,Age2+
2025,1,1/14/2025,106,2,1,LONSME,97,1,1.00,Age2+
2025,1,1/14/2025,106,2,1,LONSME,110,1,1.00,Age2+
2025,1,1/15/2025,107,2,1,LONSME,56,1,1.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,57,1,1.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,58,1,1.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,60,1,1.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,61,1,1.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,62,1,1.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,63,1,1.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,64,3,3.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,67,1,1.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,68,3,3.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,69,2,2.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,70,1,1.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,71,1,1.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,74,1,1.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,78,1,1.00,Age1
2025,1,1/15/2025,107,2,1,LONSME,80,2,2.00,Age1
2025,1,1/14/2025,108,1,1,LONSME,54,1,1.00,Age1
2025,1,1/14/2025,108,1,1,LONSME,55,1,1.00,Age1
2025,1,1/14/2025,108,1,1,LONSME,56,1,1.00,Age1
2025,1,1/14/2025,108,1,1,LONSME,57,1,1.00,Age1
2025,1,1/14/2025,108,1,1,LONSME,59,1,1.00,Age1
2025,1,1/14/2025,108,1,1,LONSME,61,1,1.00,Age1
2025,1,1/14/2025,108,1,1,LONSME,63,1,1.00,Age1
2025,1,1/14/2025,108,1,1,LONSME,67,1,1.00,Age1
2025,1,1/14/2025,108,1,1,LONSME,69,1,1.00,Age1
2025,1,1/14/2025,108,2,1,LONSME,57,1,1.00,Age1
2025,1,1/14/2025,108,2,1,LONSME,60,1,1.00,Age1
2025,1,1/14/2025,108,2,1,LONSME,63,1,1.00,Age1
2025,1,1/14/2025,108,2,1,LONSME,64,1,1.00,Age1
2025,1,1/14/2025,108,2,1,LONSME,68,1,1.00,Age1
2025,1,1/14/2025,108,2,1,LONSME,101,1,1.00,Age2+
2025,1,1/14/2025,110,2,1,LONSME,61,1,1.00,Age1
2025,1,1/14/2025,110,2,1,LONSME,65,2,2.00,Age1
