"SubRegion","mean_depth","total_volume_km3","surface_area_km2","volume_Top10_km3","volume_Top2_km3","WaterSurfaceElevation"
"Cache Slough and Liberty Island",-3.17593586776251,0.047434190152967,14.9355,0.0461129639780402,0.027109151287663,1.25
"Carquinez Strait",-13.5042722027534,0.26813812800343,19.8558,0.158808380999207,0.0388439330010414,1
"Central SF Bay",-11.9040699682214,3.19648324868081,268.5202,1.89831823326972,0.530890614097524,1
"Disappointment Slough",-3.38210968428639,0.0181507680426598,5.3667,0.0181507680426598,0.0102957770879984,1.25
"East San Pablo Bay",-4.99780509706606,0.169258166319787,33.8665,0.15624531083101,0.0653166686087489,1
"East Suisun Bay",-6.35482212441776,0.112662734997165,17.7287,0.102851022989166,0.0340691579934716,1.25
"Franks Tract",-3.45952446541764,0.0701764537809968,20.285,0.0699715773523927,0.0400910019322753,1.25
"Grant Line Canal and Old River",-3.04988203900306,0.00942749037076235,3.0911,0.00942541278010607,0.00587810987251997,1.25
"Grizzly Bay",-2.77447956754813,0.0800995025630712,28.8701,0.0800936815635443,0.055840371722126,1.25
"Holland Cut",-5.00334700469372,0.0295277526829004,5.9016,0.0292194036096811,0.0115161228736877,1.25
"Honker Bay",-4.7570995716801,0.0735190710404873,15.4546,0.0647051540346622,0.0301722290093184,1.25
"Lower Napa River",-4.19173275493719,0.0364613681955457,8.6984,0.036128985681355,0.015931722264874,1.25
"Lower Sacramento River",-7.94489822486368,0.224506934038198,28.258,0.193706123012578,0.0549896086630225,1.25
"Lower Sacramento River Deep Water Ship Channel",-8.7530709747542,0.0421792984131455,4.8188,0.0353939825505853,0.0094131600872159,1.25
"Lower San Joaquin River",-6.09564696495486,0.152140643033612,24.9589,0.136665742027867,0.0485686830287337,1.25
"Mid San Pablo Bay",-3.94192801294573,0.4752881153409,120.5725,0.455428991451359,0.231702330141187,1
"Middle River",-5.20225664364038,0.0658054251880646,12.6494,0.0643977077829361,0.0249165077470779,1.25
"Montezuma Slough",-6.00258179538084,0.033477599189198,5.5772,0.0326316514859319,0.0108757646437049,1.25
"North and South Forks Mokelumne River",-4.94348455626777,0.0534044636613607,10.803,0.0523659065534353,0.0211802015298843,1.25
"Old River",-4.90074764137339,0.0142680366830945,2.9114,0.0142140491047978,0.00570569904924631,1.25
"Rock Slough and Discovery Bay",-2.99069425637996,0.00445852699741125,1.4908,0.00445852699741125,0.00285377000077963,1.25
"Sacramento River near Rio Vista",-6.97180187706501,0.0749866094491482,10.7557,0.0719090696065426,0.0213837600661516,1.25
"Sacramento River near Ryde",-5.21322634995006,0.0183917412399888,3.5279,0.0182587159778237,0.00697823374356031,1.25
"San Joaquin River at Prisoners Pt",-7.1008253770929,0.0807924810580254,11.3779,0.0718898321087837,0.0224220811699152,1.25
"San Joaquin River at Twitchell Island",-9.38320310550786,0.0815756911586642,8.6938,0.0666234261425853,0.0172729528304696,1.25
"San Joaquin River near Stockton",-6.52604538329416,0.0424995653496265,6.5123,0.0394365613583088,0.0127755548389673,1.25
"South SF Bay",-5.1227533619835,1.86573392502722,364.2053,1.73612125799783,0.702694684774435,1
"Suisun Marsh",-3.50162927402611,0.0172469248262882,4.9254,0.0169156483047009,0.00902893810343742,1.25
"Upper Napa River",-1.60170744611784,0.000626267611432075,0.391,0.000626267611432076,0.000543268835639954,1.25
"Upper Sacramento River",-5.24449528044315,0.061504293951869,11.7274,0.0611146713639975,0.0230712077937603,1.25
"Upper Sacramento River Deep Water Ship Channel",-7.74155572329567,0.031918434247148,4.123,0.0300429645904899,0.00805510482164621,1.25
"Upper San Joaquin River",-3.30627813456188,0.00447537808294296,1.3536,0.00447518446655273,0.00262702141680717,1.25
"Victoria Canal",-4.67282634267541,0.0107189963474631,2.2939,0.0107116130521178,0.00444713116420507,1.25
"West San Pablo Bay",-4.59402112478149,0.332497332329297,72.3761,0.275117549396634,0.135358609797716,1
"West Suisun Bay",-6.09531352184117,0.188737726015699,30.9644,0.176695342010438,0.0592944830038667,1.25
