SampleID,Taxa,Length,Count,Notes_catch,Source,Station,Date,Datetime,Survey,Depth,Method,Tide,Sal_surf,Temp_surf,TurbidityNTU,TurbidityFNU,Secchi,Tow_duration,Tow_area,Tow_volume,geometry,Stratum,Date_parsed,Year,Month_num,Month_label,WY,WY_adj,Length_int,Lifestage
20mm 10048,Spirinchus thaleichthys,7,1,NA,20mm,508,2005-04-13,2005-04-13 11:29:00,3,13.716000000000001,20mm net,Ebb,0.12158240834034155,14.699999809265137,NA,NA,40,NA,NA,1078.615868346,"c(595005.449224376, 4211601.58427799)",Confluence,2005-04-13,2005,4,Apr,2005,2005,7,Larvae
20mm 10049,Spirinchus thaleichthys,12,1,NA,20mm,513,2005-04-13,2005-04-13 10:12:00,3,11.5824,20mm net,Ebb,0.11579127709060738,14.699999809265137,NA,NA,28,NA,NA,1135.904509722,"c(599330.583850922, 4212950.90109862)",Confluence,2005-04-13,2005,4,Apr,2005,2005,12,Larvae
20mm 10049,Spirinchus thaleichthys,19,1,NA,20mm,513,2005-04-13,2005-04-13 10:12:00,3,11.5824,20mm net,Ebb,0.11579127709060738,14.699999809265137,NA,NA,28,NA,NA,1135.904509722,"c(599330.583850922, 4212950.90109862)",Confluence,2005-04-13,2005,4,Apr,2005,2005,19,Juvenile
20mm 10050,Spirinchus thaleichthys,16,1,NA,20mm,513,2005-04-13,2005-04-13 10:26:00,3,11.5824,20mm net,Ebb,0.11579127709060738,14.699999809265137,NA,NA,28,NA,NA,1191.009894948,"c(599330.583850922, 4212950.90109862)",Confluence,2005-04-13,2005,4,Apr,2005,2005,16,Juvenile
20mm 10050,Spirinchus thaleichthys,17,1,NA,20mm,513,2005-04-13,2005-04-13 10:26:00,3,11.5824,20mm net,Ebb,0.11579127709060738,14.699999809265137,NA,NA,28,NA,NA,1191.009894948,"c(599330.583850922, 4212950.90109862)",Confluence,2005-04-13,2005,4,Apr,2005,2005,17,Juvenile
20mm 10051,Spirinchus thaleichthys,12,1,NA,20mm,513,2005-04-13,2005-04-13 10:39:00,3,11.5824,20mm net,Ebb,0.11579127709060738,14.699999809265137,NA,NA,28,NA,NA,1012.681532616,"c(599330.583850922, 4212950.90109862)",Confluence,2005-04-13,2005,4,Apr,2005,2005,12,Larvae
20mm 10051,Spirinchus thaleichthys,15,1,NA,20mm,513,2005-04-13,2005-04-13 10:39:00,3,11.5824,20mm net,Ebb,0.11579127709060738,14.699999809265137,NA,NA,28,NA,NA,1012.681532616,"c(599330.583850922, 4212950.90109862)",Confluence,2005-04-13,2005,4,Apr,2005,2005,15,Larvae
20mm 10051,Spirinchus thaleichthys,19,1,NA,20mm,513,2005-04-13,2005-04-13 10:39:00,3,11.5824,20mm net,Ebb,0.11579127709060738,14.699999809265137,NA,NA,28,NA,NA,1012.681532616,"c(599330.583850922, 4212950.90109862)",Confluence,2005-04-13,2005,4,Apr,2005,2005,19,Juvenile
20mm 10051,Spirinchus thaleichthys,22,1,NA,20mm,513,2005-04-13,2005-04-13 10:39:00,3,11.5824,20mm net,Ebb,0.11579127709060738,14.699999809265137,NA,NA,28,NA,NA,1012.681532616,"c(599330.583850922, 4212950.90109862)",Confluence,2005-04-13,2005,4,Apr,2005,2005,22,Juvenile
20mm 10052,Spirinchus thaleichthys,7,1,NA,20mm,520,2005-04-13,2005-04-13 11:54:00,3,12.192,20mm net,Ebb,0.11434457339979397,15,NA,NA,60,NA,NA,1130.228043732,"c(599773.785152825, 4209993.90113176)",Confluence,2005-04-13,2005,4,Apr,2005,2005,7,Larvae
20mm 10052,Spirinchus thaleichthys,22,1,NA,20mm,520,2005-04-13,2005-04-13 11:54:00,3,12.192,20mm net,Ebb,0.11434457339979397,15,NA,NA,60,NA,NA,1130.228043732,"c(599773.785152825, 4209993.90113176)",Confluence,2005-04-13,2005,4,Apr,2005,2005,22,Juvenile
20mm 10053,Spirinchus thaleichthys,11,1,NA,20mm,520,2005-04-13,2005-04-13 12:07:00,3,12.192,20mm net,Ebb,0.11434457339979397,15,NA,NA,60,NA,NA,1137.956770503,"c(599773.785152825, 4209993.90113176)",Confluence,2005-04-13,2005,4,Apr,2005,2005,11,Larvae
20mm 10053,Spirinchus thaleichthys,16,1,NA,20mm,520,2005-04-13,2005-04-13 12:07:00,3,12.192,20mm net,Ebb,0.11434457339979397,15,NA,NA,60,NA,NA,1137.956770503,"c(599773.785152825, 4209993.90113176)",Confluence,2005-04-13,2005,4,Apr,2005,2005,16,Juvenile
