"WY_adj","DayofFF","FFDOWY_adj","3DayAvgVol_preFF","3DayAvgVol_postFF","NumStorms_postFF","PeakDate","PeakVolume","FFtoPeak_days","PreFFtoPeak_mag"
1958,1957-11-15,76,31826.7768595041,55110.7438016529,10,1957-11-16,58750.4132231405,1,26923.6363636364
1959,1959-01-11,133,49219.173553719,78191.0743801653,1,1959-01-15,99205.2892561983,4,49986.1157024793
1960,1960-02-03,156,33804.2975206612,61857.8512396694,2,1960-02-08,77867.1074380165,5,44062.8099173554
1961,1960-12-03,94,33162.3140495868,63160.3305785124,2,1960-12-04,66664.4628099174,1,33502.1487603306
1962,1961-12-03,94,29897.520661157,63676.694214876,5,1961-12-04,67735.5371900826,1,37838.0165289256
1963,1962-10-13,43,19136.5289256198,288070.743801653,6,1962-10-15,450436.363636364,2,431299.834710744
1964,1963-11-16,77,33501.4876033058,52013.8842975207,1,1963-11-22,58748.4297520661,6,25246.9421487603
1965,1964-11-11,72,20791.4049586777,46012.5619834711,6,1964-11-14,49693.8842975207,3,28902.479338843
1966,1965-12-30,121,45928.5950413223,63531.2396694215,1,1965-12-31,64540.1652892562,1,18611.5702479339
1967,1966-11-21,82,38023.1404958678,66225.4545454545,5,1966-11-23,74653.8842975207,2,36630.7438016529
1968,1968-01-12,134,28111.0743801653,45321.652892562,3,1968-01-12,48166.6115702479,0,20055.5371900826
1969,1968-12-12,103,27981.4876033058,48348.4297520661,6,1968-12-17,65992.0661157025,5,38010.5785123967
1970,1969-12-14,105,34325.9504132231,60115.041322314,4,1969-12-16,64877.3553719008,2,30551.4049586777
1971,1970-11-29,90,55208.5950413223,98644.6280991736,3,1970-12-05,210610.909090909,6,155402.314049587
1972,NA,NA,NA,NA,0,NA,NA,NA,NA
1973,1972-11-16,77,47016.8595041322,76454.2148760331,6,1972-11-18,79795.041322314,2,32778.1818181818
1974,1973-11-12,73,43491.5702479339,101174.214876033,5,1973-11-19,230284.958677686,7,186793.388429752
