ID,SampleDateTime,ForkLength,Julian,Genetic_Assignment,Prob_Assignment,greb1L_classification,LAD_Race,Facility
U101485CVP,2010-10-14 08:00,107,106,Winter,0.962,,Late Fall,CVP
U101481CVP,2010-10-29 10:00,166,121,Fall / Late Fall,0.967,,Fall,CVP
U101482CVP,2010-10-29 18:00,155,122,Fall / Late Fall,0.974,,Fall,CVP
U101483CVP,2010-12-02 02:00,135,155,Unassigned,0.587,,Late Fall,CVP
U101484CVP,2010-12-03 14:00,115,157,Fall / Late Fall,0.966,,Winter,CVP
U101486CVP,2010-12-04 02:00,165,157,Fall / Late Fall,0.93,,Late Fall,CVP
U101487CVP,2010-12-04 02:00,157,157,Unassigned,0.543,,Late Fall,CVP
U101480CVP,2010-12-04 02:00,147,157,Fall / Late Fall,0.545,,Late Fall,CVP
U101488CVP,2010-12-04 04:00,132,157,Fall / Late Fall,0.99,,Late Fall,CVP
U101490CVP,2010-12-04 04:00,133,157,Fall / Late Fall,0.995,,Late Fall,CVP
U101500CVP,2010-12-04 12:00,108,157,Unassigned,0.6,,Winter,CVP
U101501CVP,2010-12-04 12:00,100,158,Unassigned,0.506,,Winter,CVP
U101503CVP,2010-12-04 12:00,105,158,Spring,0.879,,Winter,CVP
U101504CVP,2010-12-04 12:00,118,157,Fall / Late Fall,0.822,,Winter,CVP
U101505CVP,2010-12-04 12:00,113,158,Fall / Late Fall,0.972,,Winter,CVP
U101507CVP,2010-12-04 12:00,130,157,Fall / Late Fall,0.633,,Late Fall,CVP
U101506CVP,2010-12-04 12:00,133,158,Fall / Late Fall,0.992,,Late Fall,CVP
U101508CVP,2010-12-04 12:00,138,158,Fall / Late Fall,0.994,,Late Fall,CVP
U101509CVP,2010-12-04 14:00,116,158,Spring,0.92,,Winter,CVP
U101510CVP,2010-12-04 16:00,130,158,Fall / Late Fall,0.991,,Late Fall,CVP
U101511CVP,2010-12-04 16:00,142,158,Fall / Late Fall,0.982,,Late Fall,CVP
U101513CVP,2010-12-04 18:00,135,157,Spring,0.621,,Late Fall,CVP
U101515CVP,2010-12-04 18:00,147,157,Fall / Late Fall,0.903,,Late Fall,CVP
U101512CVP,2010-12-04 18:00,140,158,Fall / Late Fall,0.985,,Late Fall,CVP
U101514CVP,2010-12-04 18:00,136,158,Fall / Late Fall,0.975,,Late Fall,CVP
U101517CVP,2010-12-04 20:00,150,157,Fall / Late Fall,0.984,,Late Fall,CVP
U101516CVP,2010-12-04 20:00,154,158,Fall / Late Fall,0.983,,Late Fall,CVP
U101518CVP,2010-12-04 20:00,189,158,Fall / Late Fall,0.932,,Fall,CVP
U101519CVP,2010-12-04 22:00,120,158,Spring,0.904,,Winter,CVP
U101521CVP,2010-12-04 22:00,105,158,Fall / Late Fall,0.87,,Winter,CVP
U101520CVP,2010-12-04 22:00,135,158,Fall / Late Fall,0.997,,Late Fall,CVP
U101522CVP,2010-12-04 23:59,118,157,Fall / Late Fall,0.876,,Winter,CVP
U101524CVP,2010-12-05 02:00,160,158,Fall / Late Fall,0.901,,Late Fall,CVP
U101523CVP,2010-12-05 02:00,135,158,Fall / Late Fall,0.999,,Late Fall,CVP
U101525CVP,2010-12-05 04:00,117,158,Spring,0.782,,Winter,CVP
U101526CVP,2010-12-05 08:00,140,158,Fall / Late Fall,0.999,,Late Fall,CVP
U101527CVP,2010-12-05 12:00,111,159,Spring,0.94,,Winter,CVP
U101528CVP,2010-12-05 12:00,109,159,Fall / Late Fall,0.736,,Winter,CVP
U101529CVP,2010-12-05 16:00,130,158,Fall / Late Fall,0.726,,Late Fall,CVP
U101531CVP,2010-12-05 18:00,139,159,Fall / Late Fall,0.976,,Late Fall,CVP
U101532CVP,2010-12-05 22:00,95,159,Fall / Late Fall,0.846,,Winter,CVP
U101533CVP,2010-12-05 23:59,119,159,Unassigned,0.77,,Winter,CVP
U101534CVP,2010-12-06 02:00,137,159,Fall / Late Fall,0.995,,Late Fall,CVP
U101535CVP,2010-12-06 04:00,110,159,Fall / Late Fall,0.987,,Winter,CVP
U101536CVP,2010-12-06 06:00,70,159,Winter,1,,Winter,CVP
U101537CVP,2010-12-06 08:00,176,159,Fall / Late Fall,0.78,,Fall,CVP
U101538CVP,2010-12-06 22:00,93,160,Winter,0.999,,Winter,CVP
U101539CVP,2010-12-07 02:00,144,160,Fall / Late Fall,0.987,,Late Fall,CVP
U101550CVP,2010-12-15 12:00,111,168,Winter,1,,Winter,CVP
U101552CVP,2010-12-20 10:00,140,173,Fall / Late Fall,0.958,,Winter,CVP
U101554CVP,2010-12-20 16:00,142,173,Fall / Late Fall,0.956,,Late Fall,CVP
U101555CVP,2010-12-20 22:00,135,173,Fall / Late Fall,0.974,,Winter,CVP
U101561CVP,2010-12-23 10:00,112,176,Fall / Late Fall,0.848,,Winter,CVP
U101566CVP,2010-12-31 14:00,130,184,Fall / Late Fall,0.985,,Winter,CVP
U101567CVP,2010-12-31 14:00,140,184,Fall / Late Fall,0.953,,Winter,CVP
U110001CVP,2011-01-02 20:00,143,187,Fall / Late Fall,0.885,,Winter,CVP
U110003CVP,2011-01-03 12:00,125,187,Fall / Late Fall,0.871,,Winter,CVP
U110004CVP,2011-01-04 02:00,41,188,Fall / Late Fall,0.996,,Spring,CVP
U110005CVP,2011-01-04 04:00,89,188,Winter,1,,Winter,CVP
U110006CVP,2011-01-04 11:15,37,188,Spring,0.973,,Fall,CVP
U110007CVP,2011-01-04 11:15,35,188,Fall / Late Fall,0.997,,Fall,CVP
U110009CVP,2011-01-04 18:00,151,189,Fall / Late Fall,0.544,,Winter,CVP
U110010CVP,2011-01-04 20:00,37,188,Fall / Late Fall,0.744,,Fall,CVP
U110011CVP,2011-01-04 20:00,38,188,Fall / Late Fall,0.996,,Fall,CVP
U110012CVP,2011-01-05 02:00,39,189,Fall / Late Fall,0.984,,Fall,CVP
U110013CVP,2011-01-05 06:00,39,189,Fall / Late Fall,1,,Fall,CVP
U110014CVP,2011-01-05 06:00,35,189,Fall / Late Fall,0.999,,Fall,CVP
U110015CVP,2011-01-05 12:00,120,189,Fall / Late Fall,0.898,,Winter,CVP
U110016CVP,2011-01-05 16:00,37,190,Fall / Late Fall,0.999,,Fall,CVP
U110018CVP,2011-01-05 18:00,130,190,Spring,0.703,,Winter,CVP
U110019CVP,2011-01-05 22:00,37,190,Fall / Late Fall,0.956,,Fall,CVP
U110020CVP,2011-01-06 13:30,33,191,Fall / Late Fall,0.995,,Fall,CVP
U110021CVP,2011-01-06 13:30,36,191,Fall / Late Fall,0.984,,Fall,CVP
U110023CVP,2011-01-06 20:00,38,191,Fall / Late Fall,0.995,,Fall,CVP
U110024CVP,2011-01-06 22:00,141,191,Fall / Late Fall,0.996,,Winter,CVP
U110026CVP,2011-01-07 10:20,37,191,Fall / Late Fall,0.983,,Fall,CVP
U110030CVP,2011-01-09 23:59,37,194,Fall / Late Fall,0.997,,Fall,CVP
U110031CVP,2011-01-10 14:00,36,194,Fall / Late Fall,0.957,,Fall,CVP
