Station_ID,Station_Name,CDEC_ID,Longitude,Latitude
A-96,Fleet @ Goodyear Outfall,FLT,-122.102048,38.080379
S-4,Hill Slough,HSL,-121.024000,38.222200
S-21,Sunrise Club,SNC,-122.083000,38.185000
S-28,Teal Club,TEA,-122.087200,38.176600
S-33,Cygnus,CYG,-122.090800,38.152700
S-35,Goodyear Slough,GYS,-122.095000,38.118000
S-37,Godfather II,GOD,-122.081200,38.123800
S-42,Volanti Club,VOL,-122.046000,38.181000
S-49,Belden's,BDL,-121.970800,38.186900
S-54,Hunter Cut,HUN,-122.052700,38.156000
S-64,National Steel,NSL,-121.888100,38.122100
S-97,Ibis,IBS,-122.113000,38.157000
S-71,Montezuma @ Roaring River,MSL,-121.887200,38.093400
S-72,Roaring River @ Montezuma,ROR,-121.887500,38.093100
S-77,Pelican Point,PEL,-121.971800,38.110869
C-2B,Collinsville,CSL,-120.367000,38.325000
