station,region,first_year,last_year,n_complete_A,denom_A,pct_coverage_A,eligible_A,n_complete_B,denom_B,pct_coverage_B,eligible_B,pass_A,pass_B,override_A,override_B,selected_A,selected_B
SR071E,1,1981,2025,37,45,82.2,TRUE,23,32,71.9,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SR080E,1,1981,2025,41,45,91.1,TRUE,27,32,84.4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SR090W,1,1981,2025,40,45,88.9,TRUE,27,32,84.4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SR094E,1,1981,2025,23,45,51.1,TRUE,10,32,31.2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
SR138E,1,1981,2025,32,45,71.1,TRUE,14,32,43.8,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
SR144W,1,1981,2019,25,45,55.6,TRUE,16,32,50,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
AM001S,2,1976,2025,40,49,81.6,TRUE,22,32,68.8,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
MS001N,2,1976,2025,42,49,85.7,TRUE,26,32,81.2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SR012E,2,1976,2007,26,49,53.1,TRUE,10,32,31.2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
SR012W,2,2007,2025,16,19,84.2,TRUE,14,19,73.7,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SR014W,2,1976,2025,34,49,69.4,TRUE,18,32,56.2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SR017E,2,1976,2025,40,49,81.6,TRUE,24,32,75,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SR024E,2,1976,2025,38,49,77.6,TRUE,21,32,65.6,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SR043W,2,1976,2025,43,49,87.8,TRUE,25,32,78.1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SR049E,2,1976,2025,43,49,87.8,TRUE,23,32,71.9,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SR060E,2,1976,2025,43,49,87.8,TRUE,24,32,75,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SS011N,2,1976,2025,26,49,53.1,TRUE,21,32,65.6,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
DS002S,3,1979,2025,42,47,89.4,TRUE,24,32,75,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
GS010E,3,1976,2025,33,49,67.3,TRUE,16,32,50,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
LP003E,3,1976,2025,43,49,87.8,TRUE,25,32,78.1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
MK004W,3,1979,2025,45,47,95.7,TRUE,27,32,84.4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SF014E,3,1976,2025,44,49,89.8,TRUE,26,32,81.2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SJ001S,3,1979,2025,36,47,76.6,TRUE,21,32,65.6,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SJ005N,3,1976,2025,45,49,91.8,TRUE,27,32,84.4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
TM001N,3,1976,2025,39,49,79.6,TRUE,17,32,53.1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
XC001N,3,1976,2025,25,49,51,TRUE,6,32,18.8,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
MR010W,4,1979,2025,30,47,63.8,TRUE,18,32,56.2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SJ026S,4,2002,2025,15,24,62.5,TRUE,11,24,45.8,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
SJ032S,4,1993,2025,22,33,66.7,TRUE,20,32,62.5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SJ041N,4,1979,2025,33,47,70.2,TRUE,16,32,50,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
SJ051E,4,1994,2025,28,32,87.5,TRUE,18,32,56.2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
