station,region,selected_A,selected_B,location,latitude,longitude
AM001S,2,TRUE,TRUE,American River,38.59935675,-121.5057333
DS002S,3,TRUE,TRUE,King's Island,38.05876504,-121.4583571
GS010E,3,TRUE,TRUE,Georgiana Slough,38.22585563,-121.5271963
MK004W,3,TRUE,TRUE,B&W Marina,38.12746155,-121.5804697
MR010W,4,TRUE,TRUE,Woodward Island,37.9217722,-121.5287972
MS001N,2,TRUE,TRUE,Sherman Island,38.05604444,-121.7855639
LP003E,3,TRUE,TRUE,Terminous,38.10993564,-121.5001684
OR014W,4,TRUE,FALSE,Cruiser Haven,37.92148633,-121.5558943
SA008W,6,TRUE,TRUE,Paradise Beach,37.89841496,-122.4668706
SA001M,6,TRUE,FALSE,Treasure Island,37.81092979,-122.3675382
SA004W,6,TRUE,FALSE,Tiburon Beach,37.89139123,-122.4948874
SA007E,6,TRUE,TRUE,Berkeley (Frontage Rd),37.85143906,-122.3014014
SA009E,6,TRUE,TRUE,Keller Beach ,37.91779546,-122.3860448
SA010W,6,TRUE,TRUE,San Quentin Beach,37.9395808,-122.4984841
SF014E,3,TRUE,TRUE,Wimpy's,38.2269122,-121.4911887
SJ001S,3,TRUE,TRUE,Antioch Dunes,38.01480683,-121.7827132
SJ005N,3,TRUE,TRUE,Eddo's,38.05079336,-121.6994317
SJ026S,4,TRUE,FALSE,Medford Island,38.05160734,-121.5098959
SJ032S,4,TRUE,TRUE,Lost Isle,37.9973944,-121.4473917
SJ041N,4,TRUE,TRUE,Dad's Point,37.95562193,-121.3462528
SJ051E,4,TRUE,TRUE,Dos Reis,37.83069661,-121.3113902
SJ056E,5,TRUE,TRUE,Mossdale,37.78703776,-121.3073651
SJ063W,5,TRUE,FALSE,Big Beach,37.72497212,-121.2968653
SJ058W,5,TRUE,FALSE,Weatherbee,37.77243915,-121.3030658
SR012E,2,TRUE,FALSE,Stump Beach,38.13272407,-121.6865463
SR014W,2,TRUE,TRUE,Rio Vista,38.18651797,-121.6626646
SR024E,2,TRUE,TRUE,Koket,38.24039242,-121.5547949
SP000W,6,TRUE,FALSE,McNears Beach,37.99504183,-122.4550107
SP001W,6,TRUE,TRUE,China Camp,38.00207391,-122.4672713
SR017E,2,TRUE,TRUE,Isleton,38.16272799,-121.6115749
SR043W,2,TRUE,TRUE,Clarksburg,38.38304913,-121.5208997
SR049E,2,TRUE,TRUE,Garcia Bend,38.47805124,-121.543378
SR060E,2,TRUE,TRUE,Discovery Park,38.60053595,-121.5091653
SR071E,1,TRUE,TRUE,Elkhorn,38.67274584,-121.6248473
SR080E,1,TRUE,TRUE,Verona,38.78414982,-121.6178397
SR090W,1,TRUE,TRUE,Knights Landing,38.80134714,-121.723532
SR094E,1,TRUE,TRUE,Reels Beach,38.85300492,-121.7265503
SR138E,1,TRUE,FALSE,Wards Landing,39.1942668,-121.9371027
SR144W,1,TRUE,TRUE,Colusa St. Park,39.219992070000004,-122.014965
SS011N,2,TRUE,TRUE,Steamboat Sl. (mouth),38.30472188,-121.5749397
TM001N,3,TRUE,TRUE,Brennan Island,38.11666073,-121.6837998
XC001N,3,TRUE,TRUE,Delta Cross Channel,38.24552036,-121.5037624
SR012W,2,TRUE,TRUE,Sandy Beach,38.1392889,-121.6949056
